day,month,year,region,district,landing_site,cfmas,fishing_ground,craft_type,gear_type,propulsion_mode,number_of_fishers,species,local_name,priority,code,number_fish,weight,value_tsh
30,12,2023,Pwani,Mafia,Bwejuu,MIMP,KICHANGACHANGANI - BWEJUU,MS,SK,S,3,aetobatus ocellatus,Taa Pungu / Pijo / Pua,Elasmobranch,MAE,2,35,40000
30,12,2023,Pwani,Mafia,Bwejuu,MIMP,KICHANGACHANGANI - BWEJUU,MS,SK,S,3,aetobatus ocellatus,Kapungu,Elasmobranch,MAE,2,35,40000
30,12,2023,Pwani,Mafia,Bwejuu,MIMP,CHOONI,PC,SK,S,3,aetobatus ocellatus,Taa Pungu / Pijo / Pua,Elasmobranch,MAE,2,25,30000
30,12,2023,Pwani,Mafia,Bwejuu,MIMP,CHOONI,PC,SK,S,3,aetobatus ocellatus,Kapungu,Elasmobranch,MAE,2,25,30000
30,12,2023,Pwani,Mafia,Bwejuu,MIMP,MAKOLUMUNI,BT,GN,O,7,siganus sp.,Tasi,Reef Fish,SGL,32,10,35000
30,12,2023,Pwani,Mafia,Bwejuu,MIMP,KAULE,DC,SP,O,3,octopus cyanea,Pweza,Octopus,OCC,12,10,50000
30,12,2023,Pwani,Mafia,Bwejuu,MIMP,BWEJUU KUSINI,FF,SP,NA,9,octopus cyanea,Pweza,Octopus,OCC,16,20,100000
30,12,2023,Pwani,Mafia,Bwejuu,MIMP,NYAMALILE,BT,DM,O,3,milea,Komba,Reef Fish,KOM,32,15,52500
30,12,2023,Pwani,Mafia,Bwejuu,MIMP,NYAMALILE,BT,DM,O,3,milea,Mlea,Reef Fish,KOM,32,15,52500
30,12,2023,Pwani,Mafia,Bwejuu,MIMP,RASI KUBWA BWEJUU,FF,DM,NA,1,pono,Pono Wengine,Reef Fish,PNW,6,3,10500
30,12,2023,Pwani,Mafia,Bwejuu,MIMP,RASI YA MWAMBA,DC,HL,P,1,lethrinus borbonicus,Changu Chole,Reef Fish,LHB,24,5,17500
30,12,2023,Pwani,Mafia,Bwejuu,MIMP,SHATILI,DC,HL,P,1,lethrinus nebulosus,Changu Tawa,Reef Fish,LHN,12,3,15000
30,12,2023,Pwani,Mafia,Bwejuu,MIMP,MLIMA,DC,HL,P,1,lethrinus nebulosus,Changu Tawa,Reef Fish,LHN,37,13,65000
30,12,2023,Pwani,Mafia,Bwejuu,MIMP,KIJAMBA KIKUBWA,DC,HL,P,1,lutjanus fulviflamma,Kelea,Reef Fish,LDW,15,3,10500
29,12,2023,Pwani,Kibiti,Mchungu,MCHIMCHUNYA,"
BARABARANI",DC,LL,P,2,netuma thalassina,Hongwe,Reef Fish,NTT,18,30,90000
29,12,2023,Pwani,Kibiti,Mchungu,MCHIMCHUNYA,"
BARABARANI",DC,LL,P,2,netuma thalassina,Hongwe,Reef Fish,NTT,12,23,69000
29,12,2023,Pwani,Kibiti,Mchungu,MCHIMCHUNYA,"
BARABARANI",DC,LL,P,2,netuma thalassina,Hongwe,Reef Fish,NTT,9,20,60000
